datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,s1_pm2_5,s2_pm2_5,site_name,temperature
2026-03-28 00:00:00Z,ag_588c81267534,daily,73.8343776106934,0.33354,32.56861,airgradient,40.67,,,Salama Road,24.8382633667502
2026-03-29 00:00:00Z,ag_588c81267534,daily,71.0372807017544,0.33354,32.56861,airgradient,42.14,,,Salama Road,26.7009429824561
2026-03-30 00:00:00Z,ag_588c81267534,daily,79.085843079922,0.33354,32.56861,airgradient,54.27,,,Salama Road,24.7190679824561
2026-03-31 00:00:00Z,ag_588c81267534,daily,75.5626729868149,0.33354,32.56861,airgradient,34.65,,,Salama Road,24.6023238652186
2026-04-01 00:00:00Z,ag_588c81267534,daily,73.2570175438597,0.33354,32.56861,airgradient,33.69,,,Salama Road,25.8177412280702
2026-04-02 00:00:00Z,ag_588c81267534,daily,72.5324926900585,0.33354,32.56861,airgradient,52.34,,,Salama Road,26.6391504803676
2026-04-03 00:00:00Z,ag_588c81267534,daily,86.5666666666667,0.33354,32.56861,airgradient,70.65,,,Salama Road,23.3466666666667
2026-03-28 00:00:00Z,airqo-g5139,daily,72.2775830108968,0.314246194099379,32.5950153167702,airqo,19.98,25.89,25.37,Mukwano  Road device 5,26.4621387674952
2026-03-29 00:00:00Z,airqo-g5139,daily,69.9732058799213,0.314310908688846,32.5969071013255,airqo,31.56,40.36,40.49,Mukwano  Road device 5,27.7295817957418
2026-03-30 00:00:00Z,airqo-g5139,daily,79.6533177417677,0.314295872272198,32.5955647229155,airqo,41.36,57.44,58.82,Mukwano  Road device 5,25.1279932753679
2026-03-31 00:00:00Z,airqo-g5139,daily,67.5064978354978,0.314267228699144,32.5958643240963,airqo,29.2,34.89,35.03,Mukwano  Road device 5,28.726091991342
2026-04-01 00:00:00Z,airqo-g5139,daily,71.3413059805517,0.314209294372294,32.5949339880952,airqo,27.05,34.61,34.84,Mukwano  Road device 5,27.8990681717034
2026-04-02 00:00:00Z,airqo-g5139,daily,69.7230564710423,0.314317296701625,32.5970941138284,airqo,30.49,46.15,46.72,Mukwano  Road device 5,28.1147932596991
2026-04-03 00:00:00Z,airqo-g5139,daily,59.8013626373626,0.314142918956044,32.5949087458791,airqo,20.72,44.74,45.28,Mukwano  Road device 5,31.9134642857143
2026-03-28 00:00:00Z,airqo-g5168,daily,28.0011111497879,-0.612466426228101,30.6590305440209,airqo,25.6,30.41,41.12,Mbarara Central,6.98825395220802
2026-03-29 00:00:00Z,airqo-g5168,daily,16.4372806747754,-0.615655942701504,30.6578441149641,airqo,24.61,36.21,40.98,Mbarara Central,5.32192985635055
2026-03-30 00:00:00Z,airqo-g5168,daily,23.2365740394151,-0.611359221029695,30.6614805627126,airqo,33.62,55.37,28.69,Mbarara Central,7.79212961373506
2026-03-31 00:00:00Z,airqo-g5168,daily,0,-0.616327039146576,30.6592359901414,airqo,24.62,59.74,33.28,Mbarara Central,0
2026-04-01 00:00:00Z,airqo-g5168,daily,22.5041666449535,-0.610666497956536,30.6601339822688,airqo,41.68,72.38,32.24,Mbarara Central,7.00291663351513
2026-04-02 00:00:00Z,airqo-g5168,daily,15.7032407544277,-0.613194289678156,30.6607521520432,airqo,36.55,53.58,35.28,Mbarara Central,7.35972223458467
2026-04-03 00:00:00Z,airqo-g5168,daily,0,-0.615435046473495,30.6551831946991,airqo,25.33,89.03,48.55,Mbarara Central,0
2026-03-28 00:00:00Z,airqo-g5181,daily,69.6865955912235,-0.52358,31.62193,airqo,19.41,0,23.49,Rakai Health Sciences Program Facility,27.4583821156913
2026-03-29 00:00:00Z,airqo-g5181,daily,73.2346869551699,-0.52358,31.62193,airqo,15.51,0,21.88,Rakai Health Sciences Program Facility,27.3748911753489
2026-03-30 00:00:00Z,airqo-g5181,daily,76.8126464530892,-0.52358,31.62193,airqo,25.92,0,28.41,Rakai Health Sciences Program Facility,25.7400499618612
2026-03-31 00:00:00Z,airqo-g5181,daily,71.1344535241613,-0.52358,31.62193,airqo,22.59,0,18.82,Rakai Health Sciences Program Facility,27.9508196368113
2026-04-01 00:00:00Z,airqo-g5181,daily,68.6236503189793,-0.52358,31.62193,airqo,15.51,0,16.19,Rakai Health Sciences Program Facility,28.4474157894737
2026-04-02 00:00:00Z,airqo-g5181,daily,76.988393588137,-0.52358,31.62193,airqo,26.74,0,22.64,Rakai Health Sciences Program Facility,26.3980773678989
2026-04-03 00:00:00Z,airqo-g5181,daily,52.9473986354776,-0.52358,31.62193,airqo,14.21,0,10.01,Rakai Health Sciences Program Facility,33.8183050682261
2026-03-28 00:00:00Z,airqo-g5184,daily,90.0953120819396,-0.594025149762088,30.5960819765847,airqo,22.75,29.19,28.37,"Mbarara University, Mbarara",20.0775186127096
2026-03-29 00:00:00Z,airqo-g5184,daily,82.0945074975264,-0.594025149762088,30.5960819765847,airqo,18.19,25.88,25.09,"Mbarara University, Mbarara",22.9061849002136
2026-03-30 00:00:00Z,airqo-g5184,daily,81.1041622337231,-0.594025149762088,30.5960819765847,airqo,25.37,26.53,25.84,"Mbarara University, Mbarara",21.8020584430023
2026-03-31 00:00:00Z,airqo-g5184,daily,85.5342380952381,-0.594025149762088,30.5960819765847,airqo,16.38,32.66,31.74,"Mbarara University, Mbarara",23.2490461760462
2026-04-01 00:00:00Z,airqo-g5184,daily,83.0438518166883,-0.594025149762088,30.5960819765847,airqo,15.24,26.56,25.79,"Mbarara University, Mbarara",22.530129437984
2026-04-02 00:00:00Z,airqo-g5184,daily,79.1429997653067,-0.594025149762088,30.5960819765847,airqo,27.63,34.93,34,"Mbarara University, Mbarara",22.0011433961643
2026-04-03 00:00:00Z,airqo-g5184,daily,77.874887755102,-0.594025149762088,30.5960819765847,airqo,29.59,30.33,29.09,"Mbarara University, Mbarara",23.8881125541126
2026-03-28 00:00:00Z,airqo-g5186,daily,82.5329066556054,0.437386403846154,32.5524173461538,airqo,14.74,30.07,35.05,Kawanda 2,26.0351434016199
2026-03-29 00:00:00Z,airqo-g5186,daily,79.6195354784923,0.43673,32.55137,airqo,18.15,30.3,33.38,Kawanda 2,28.4655489047116
2026-03-30 00:00:00Z,airqo-g5186,daily,88.4602619528051,0.43673,32.55137,airqo,55.79,51.23,58.09,Kawanda 2,24.6038869301932
2026-03-31 00:00:00Z,airqo-g5186,daily,73.2055307539683,0.437766888888889,32.5530513333333,airqo,19.69,29.25,32.09,Kawanda 2,31.7618253968254
2026-04-01 00:00:00Z,airqo-g5186,daily,78.1283517945468,0.437871337301587,32.5531908690476,airqo,46.88,39.83,71.42,Kawanda 2,27.4677061004908
2026-04-02 00:00:00Z,airqo-g5186,daily,74.6867440229825,0.43673,32.55137,airqo,19.51,26.56,29.48,Kawanda 2,30.2837976381211
2026-04-03 00:00:00Z,airqo-g5186,daily,77.453253968254,0.437339910714286,32.5523800892857,airqo,34.66,75.77,90,Kawanda 2,33.5603174603175
2026-03-28 00:00:00Z,airqo-g5187,daily,21.6731884773227,2.77313813255549,32.3048082571375,airqo,10.72,7.13,4.24,Gulu Main Market,8.50434781502986
2026-03-29 00:00:00Z,airqo-g5187,daily,15.5253002763288,2.77313813255549,32.3048082571375,airqo,13.36,6.04,4.45,Gulu Main Market,7.30521738080011
